Starting: 18:47:29:442314
round_127_received_params_1: 18:47:46:650802
round_127_end: 18:47:46:650986
round_128_start: 18:47:46:651007
round_128_model_trained: 18:47:46:663866
round_128_model_shared: 18:47:46:670734
round_128_received_params_1: 18:47:46:788665
round_128_end: 18:47:46:788849
round_129_start: 18:47:46:788870
round_129_model_trained: 18:47:46:801744
round_129_model_shared: 18:47:46:808602
round_129_received_params_1: 18:47:46:936489
round_129_end: 18:47:46:936672
round_130_start: 18:47:46:936693
round_130_model_trained: 18:47:46:949528
round_130_model_shared: 18:47:46:956388
round_130_received_params_1: 18:47:47:068289
round_130_end: 18:47:47:068474
round_131_start: 18:47:47:068495
round_131_model_trained: 18:47:47:081301
round_131_model_shared: 18:47:47:088154
round_131_received_params_1: 18:47:47:187855
round_131_end: 18:47:47:188037
round_132_start: 18:47:47:188058
round_132_model_trained: 18:47:47:201050
round_132_model_shared: 18:47:47:207971
round_132_received_params_1: 18:47:47:324395
round_132_end: 18:47:47:324580
round_133_start: 18:47:47:324601
round_133_model_trained: 18:47:47:337536
round_133_model_shared: 18:47:47:344389
round_133_received_params_1: 18:47:47:462476
round_133_end: 18:47:47:462660
round_134_start: 18:47:47:462681
round_134_model_trained: 18:47:47:475440
round_134_model_shared: 18:47:47:482292
round_134_received_params_1: 18:47:47:594620
round_134_end: 18:47:47:594806
round_135_start: 18:47:47:594826
round_135_model_trained: 18:47:47:607697
round_135_model_shared: 18:47:47:614575
round_135_received_params_1: 18:47:47:719739
round_135_end: 18:47:47:719923
round_136_start: 18:47:47:719943
round_136_model_trained: 18:47:47:732765
round_136_model_shared: 18:47:47:739621
round_136_received_params_1: 18:47:47:863903
round_136_end: 18:47:47:864089
round_137_start: 18:47:47:864109
round_137_model_trained: 18:47:47:876923
round_137_model_shared: 18:47:47:883784
round_137_received_params_1: 18:47:47:990334
round_137_end: 18:47:47:990518
round_138_start: 18:47:47:990539
round_138_model_trained: 18:47:48:003417
round_138_model_shared: 18:47:48:010276
round_138_received_params_1: 18:47:48:126484
round_138_end: 18:47:48:126668
round_139_start: 18:47:48:126690
round_139_model_trained: 18:47:48:139471
round_139_model_shared: 18:47:48:146307
round_139_received_params_1: 18:47:48:268481
round_139_end: 18:47:48:268665
round_140_start: 18:47:48:268687
round_140_model_trained: 18:47:48:281505
round_140_model_shared: 18:47:48:288356
round_140_received_params_1: 18:47:48:388453
round_140_end: 18:47:48:388637
round_141_start: 18:47:48:388658
round_141_model_trained: 18:47:48:400291
round_141_model_shared: 18:47:48:407168
round_141_received_params_1: 18:47:48:520085
round_141_end: 18:47:48:520268
round_142_start: 18:47:48:520289
round_142_model_trained: 18:47:48:533505
round_142_model_shared: 18:47:48:540354
round_142_received_params_1: 18:47:48:648647
round_142_end: 18:47:48:648831
round_143_start: 18:47:48:648852
round_143_model_trained: 18:47:48:661730
round_143_model_shared: 18:47:48:668570
round_143_received_params_1: 18:47:48:795209
round_143_end: 18:47:48:795391
round_144_start: 18:47:48:795411
round_144_model_trained: 18:47:48:808283
round_144_model_shared: 18:47:48:815154
round_144_received_params_1: 18:47:48:928428
round_144_end: 18:47:48:928613
round_145_start: 18:47:48:928634
round_145_model_trained: 18:47:48:941554
round_145_model_shared: 18:47:48:948385
round_145_received_params_1: 18:47:49:065533
round_145_end: 18:47:49:065721
round_146_start: 18:47:49:065742
round_146_model_trained: 18:47:49:078463
round_146_model_shared: 18:47:49:085288
round_146_received_params_1: 18:47:49:195655
round_146_end: 18:47:49:195840
round_147_start: 18:47:49:195862
round_147_model_trained: 18:47:49:208659
round_147_model_shared: 18:47:49:215532
round_147_received_params_1: 18:47:49:329448
round_147_end: 18:47:49:329632
round_148_start: 18:47:49:329653
round_148_model_trained: 18:47:49:342631
round_148_model_shared: 18:47:49:349478
round_148_received_params_1: 18:47:49:463331
round_148_end: 18:47:49:463515
round_149_start: 18:47:49:463537
round_149_model_trained: 18:47:49:476378
round_149_model_shared: 18:47:49:483250
round_149_received_params_1: 18:47:49:624713
round_149_end: 18:47:49:624898
round_150_start: 18:47:49:624919
round_150_model_trained: 18:47:49:637846
round_150_model_shared: 18:47:49:644679
round_150_received_params_1: 18:47:49:749142
round_150_end: 18:47:49:749327
round_151_start: 18:47:49:749349
round_151_model_trained: 18:47:49:762229
round_151_model_shared: 18:47:49:769067
round_151_received_params_1: 18:47:49:894708
round_151_end: 18:47:49:894892
round_152_start: 18:47:49:894913
round_152_model_trained: 18:47:49:907786
round_152_model_shared: 18:47:49:914623
round_152_received_params_1: 18:47:50:025944
round_152_end: 18:47:50:026132
round_153_start: 18:47:50:026153
round_153_model_trained: 18:47:50:039019
round_153_model_shared: 18:47:50:045864
round_153_received_params_1: 18:47:50:170267
round_153_end: 18:47:50:170453
round_154_start: 18:47:50:170474
round_154_model_trained: 18:47:50:183239
round_154_model_shared: 18:47:50:190115
round_154_received_params_1: 18:47:50:305860
round_154_end: 18:47:50:306046
round_155_start: 18:47:50:306066
round_155_model_trained: 18:47:50:318881
round_155_model_shared: 18:47:50:325707
round_155_received_params_1: 18:47:50:440655
